Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
1697,19:45:25,32.70297,-117.234631,19:45:28.29,74.32142857142847,32.70305,-117.2334415,7.309999999449701e-05,0.0011894999999952915,812.25,436.44,23.437,11.625,824.0,448.0,-6.771428571993656e-06,-2.0900828575672395e-05,-4.886173890938924e-06,-1.223324105918321e-05,-6.693318021711028e-07,-5.883924485454029e-06,1.3153000683373291e-05,4.670687135376255e-05
1705,19:45:25,32.70297,-117.234631,19:45:28.62,74.65476190476184,32.703047,-117.233450667,7.009999999496586e-05,0.0011803329999935386,814.82,436.65,23.652,11.768,827.0,448.0,-8.98203266498268e-06,-2.727379492161667e-05,-3.981712338162667e-06,-1.0146384012423555e-05,4.62018209861619e-06,1.2982649713795562e-05,9.763861950463386e-06,3.4731346124124686e-05
1716,19:45:25,32.70297,-117.234631,19:45:29.2,75.2880952380952,32.703041333,-117.233467667,6.443299999858709e-05,0.0011633329999938269,818.36,436.95,23.946,11.964,830.0,449.0,-8.314830217052212e-06,-2.290291171557911e-05,1.2389159107738015e-06,6.164862023112678e-06,3.4579966991278746e-06,8.66422256915661e-06,-1.2262606536976418e-05,-2.98346067480655e-05
1720,19:45:25,32.70297,-117.234631,19:45:29.6,75.68809523809517,32.703038167,-117.233475833,6.126699999953189e-05,0.0011551669999931846,819.7,437.0,24.087,12.035,832.0,449.0,-7.77241626670232e-06,-2.0623038277972692e-05,1.4132470865847054e-06,5.312982267368398e-06,-4.081381147368226e-06,-9.084198043075217e-06,-1.834683168623927e-05,-3.667708488568745e-05
1729,19:45:30,32.70297,-117.234631,19:45:30.21,76.23809523809518,32.703034,-117.233487333,5.709999999936599e-05,0.0011436669999937976,822.83,437.0,24.478,12.191,835.0,449.0,-6.9518636347313514e-06,-1.7993340909197575e-05,-4.247651916432931e-06,-4.942666263195102e-06,-1.3792793796485943e-05,-2.343803245500159e-05,-1.2593574225479144e-06,-3.058388964957012e-05
1735,19:45:30,32.70297,-117.234631,19:45:30.46,76.48809523809521,32.703032333,-117.2334915,5.5432999999993626e-05,0.0011394999999936317,824.91,437.0,24.739,12.296,837.0,449.0,-8.665999999378903e-06,-2.0333999998453818e-05,-8.093606064945334e-06,-1.1346651509113134e-05,-1.2244251733379564e-05,-3.1593778606101183e-05,4.824007918025439e-05,3.391479891887658e-05
1741,19:45:30,32.70297,-117.234631,19:45:30.71,76.73809523809524,32.703029667,-117.2334975,5.2766999999676045e-05,0.0011334999999945694,827.0,437.0,25.0,12.4,840.0,449.0,-1.0998666667204479e-05,-2.3666666663754786e-05,-1.0369777783123409e-05,-2.073955556624749e-05,1.0327245793643998e-05,-6.4806329955613726e-06,9.228736041557048e-05,0.00015991853877781113
1753,19:45:30,32.70297,-117.234631,19:45:31.21,77.2380952380953,32.703023833,-117.233509,4.693300000013778e-05,0.0011219999999951824,831.17,437.0,25.522,12.609,844.0,450.0,-1.722266667058906e-05,-4.144533335192569e-05,1.4225777780056645e-05,7.111111168946763e-06,5.84722963089212e-05,0.00013294459272902333,-0.000106468830566372,-6.718891179600099e-05
1759,19:45:30,32.70297,-117.234631,19:45:31.46,77.48809523809533,32.703018833,-117.233521667,4.193299999855071e-05,0.0011093329999880552,833.26,437.0,25.783,12.713,846.0,450.0,-1.0332000002221065e-05,-3.4333999991527624e-05,3.000400000510957e-05,5.000266675853761e-05,6.510222217707858e-06,7.28924443743739e-05,-0.00021573688891958172,-0.0003970536303042264
1765,19:45:30,32.70297,-117.234631,19:45:31.71,77.73809523809535,32.703018667,-117.233526167,4.1766999999026666e-05,0.0011048329999994166,835.35,437.0,26.043,12.817,848.0,450.0,-2.220666668032569e-06,-1.6443999972654043e-05,1.7480888888910945e-05,4.355733335613786e-05,-4.939614815088193e-05,-6.558222242311246e-05,-0.00010969758021710693,-0.0003223774816364584
1777,19:45:30,32.70297,-117.234631,19:45:32.21,78.23809523809541,32.703016,-117.233532833,3.909999999507363e-05,0.0010981669999949872,839.52,437.0,26.565,13.026,853.0,450.0,-8.444666671417157e-06,-2.266800001393416e-05,-6.520888872625859e-06,-2.9034666668943012e-05,9.682962997798106e-06,4.750222312090439e-06,9.10095801193179e-05,0.00030761007421423853
1783,19:45:30,32.70297,-117.234631,19:45:32.46,78.48809523809544,32.7030135,-117.233539667,3.65999999942801e-05,0.0010913329999908683,841.61,437.0,26.826,13.13,855.0,450.0,-9.333999997805984e-06,-3.200000000446899e-05,3.110666691933045e-06,-9.105333295638676e-06,2.9041777755376184e-05,0.00010252088895864228,-1.857185206634945e-05,8.845748120447832e-05
1789,19:45:30,32.70297,-117.234631,19:45:32.71,78.73809523809547,32.703011333,-117.233548833,3.443299999617011e-05,0.0010821669999927508,843.7,437.0,27.087,13.235,857.0,450.0,-6.889333325450457e-06,-2.7220666661754013e-05,8.000000005063883e-06,2.2225777810383956e-05,3.9703696462232655e-07,4.897896291433463e-05,-9.649825190129007e-05,-0.0002296147756638317
1801,19:45:30,32.70297,-117.234631,19:45:33.21,79.23809523809553,32.703009667,-117.233553,3.27670000004332e-05,0.0010779999999925849,847.87,437.0,27.609,13.443,862.0,450.0,-4.6680000072753795e-06,-1.2999333317034213e-05,-1.096177780052591e-05,-2.9630222242196278e-05,-2.9771377724313785e-05,-8.127549640422145e-05,8.347915797644173e-05,0.0002232561419971086
1807,19:45:30,32.70297,-117.234631,19:45:33.46,79.48809523809555,32.703008333,-117.233556833,3.1432999996638955e-05,0.001074166999998738,849.96,437.0,27.87,13.548,864.0,451.0,-9.334000012016832e-06,-2.7665999994039032e-05,-1.7385599995747398e-05,-4.714453338063772e-05,9.075410189089448e-06,3.50091716743428e-05,0.00013867825370486667,0.0003972374922758581
1813,19:45:30,32.70297,-117.234631,19:45:33.71,79.73809523809558,32.703005,-117.233566833,2.8099999994424252e-05,0.0010641669999955639,852.04,437.0,28.13,13.652,866.0,451.0,-1.3360800005150066e-05,-3.657160000735576e-05,-6.424072705980669e-06,-1.2125636405022888e-05,3.956774912812743e-05,0.00011734324973373017,6.354801155025944e-05,0.00016415599820612966
1825,19:45:30,32.70297,-117.234631,19:45:34.28,80.32142857142895,32.702997167,-117.2335835,2.026699999646553e-05,0.0010474999999985357,856.22,437.0,28.652,13.861,871.0,451.0,-3.928363637500733e-06,-1.166318183351469e-05,1.0833790909989778e-05,2.5383354543352858e-05,-2.8805181922215734e-06,-1.172784541096215e-05,-5.272042364260171e-05,-0.00013711938369043625
1831,19:45:30,32.70297,-117.234631,19:45:34.61,80.6547619047623,32.702997667,-117.233584167,2.076699999520315e-05,0.0010468329999895332,858.3,437.0,28.913,13.965,873.0,451.0,-1.3335000019763075e-06,-6.500500013828189e-06,3.689727274836135e-06,6.9923636442644e-06,-1.663531947864191e-05,-4.140662076619325e-05,-1.9040661801302457e-05,-3.727272267168179e-05
1845,19:45:35,32.70297,-117.234631,19:45:35.29,81.32142857142901,32.702993,-117.2335945,1.609999999629963e-05,0.0010364999999978863,864.04,437.21,29.321,14.0,879.0,451.0,-4.333499994401893e-06,-1.3166500004045765e-05,-1.0046571418339896e-06,-2.256914291770233e-06,3.025620644354358e-07,2.763035311370281e-06,1.3228088453997007e-05,3.255632231476603e-05
1853,19:45:35,32.70297,-117.234631,19:45:35.62,81.65476190476238,32.702992,-117.2335985,1.5099999998824387e-05,0.0010324999999937745,867.39,437.36,29.536,14.0,882.0,451.0,-4.085828567212492e-06,-1.2628457152376489e-05,3.2021999455137887e-07,1.4369228479239394e-06,2.682135905665087e-06,7.998782449363555e-06,2.441566848367426e-06,5.817571384420076e-06
1873,19:45:35,32.70297,-117.234631,19:45:36.46,82.48809523809581,32.702986333,-117.233610333,9.432999995340197e-06,0.001020666999991704,875.79,437.71,30.071,14.0,891.0,452.0,-4.699800003037956e-06,-1.180020000219749e-05,-1.3736571633311253e-07,1.6802228688150498e-06,-5.068963960947763e-06,-7.756720625200581e-06,-2.3803222058128093e-06,-8.143850364411843e-06
1893,19:45:35,32.70297,-117.234631,19:45:37.29,83.32142857142924,32.702984167,-117.233618167,7.266999993760237e-06,0.0010128329999901098,884.18,438.07,30.607,14.0,899.0,452.0,-4.314771427767705e-06,-9.828085704351088e-06,-8.128053273695853e-06,-1.1490944860745166e-05,-1.285067770690046e-06,-5.574301491324393e-06,-1.2067296944885288e-05,-1.6930841659260125e-05
1901,19:45:35,32.70297,-117.234631,19:45:37.62,83.65476190476261,32.7029825,-117.2336215,5.599999994387872e-06,0.0010094999999950005,887.54,438.21,30.821,14.0,903.0,452.0,-8.169467527536109e-06,-1.5506064927021533e-05,-7.44924155750657e-06,-1.1984898719967211e-05,-7.521896402078389e-06,-1.382454799373354e-05,-1.3799459105460945e-05,-1.1480191559863514e-05
1915,19:45:35,32.70297,-117.234631,19:45:38.21,84.23809523809601,32.7029745,-117.233636167,-2.3999999996249244e-06,0.0009948329999929229,893.41,438.46,31.196,14.0,909.0,452.0,-8.314285720496853e-06,-1.7343028587542882e-05,-2.15944779166717e-05,-3.26490440993831e-05,-1.055824103346437e-05,-6.974308707388677e-06,0.00012773122618295037,0.0001974961209076311
1921,19:45:35,32.70297,-117.234631,19:45:38.46,84.48809523809604,32.702973,-117.233639667,-3.900000002943216e-06,0.0009913329999875486,895.93,438.57,31.357,14.0,912.0,453.0,-1.6000000002234628e-05,-2.866599999151384e-05,-2.2767173648368868e-05,-3.1344413363966215e-05,3.561774998458378e-05,6.230181297234262e-05,0.00013774302963486359,0.00019303108433966576
1927,19:45:35,32.70297,-117.234631,19:45:38.71,84.73809523809607,32.7029665,-117.2336505,-1.0400000000743148e-05,0.0009804999999971642,898.45,438.68,31.518,14.0,914.0,453.0,-1.9697872544682582e-05,-3.301523526952777e-05,-3.7856029243777816e-06,-1.4981376132082516e-06,5.831327378397525e-05,8.954123346245517e-05,2.9463199325364095e-05,2.172552964023711e-05
1938,19:45:35,32.70297,-117.234631,19:45:39.29,85.34523809523894,32.702963833,-117.233655333,-1.3067000004696183e-05,0.0009756669999916312,903.06,438.87,31.812,14.0,919.0,453.0,-5.768205881809989e-06,-1.0482195294046585e-05,5.648682519148634e-06,8.86170159500711e-06,-1.4212441457575486e-05,-2.5891184870954753e-05,-6.963060718282237e-05,-0.00010582021700071182
1942,19:45:35,32.70297,-117.234631,19:45:39.57,85.63095238095322,32.702962,-117.233658667,-1.4900000003592595e-05,0.0009723329999928865,904.74,438.95,31.92,14.0,921.0,453.0,-6.479580337415565e-06,-1.1748807035647526e-05,-2.412185062481586e-06,-4.311167957929344e-06,-2.740794105084553e-05,-4.479057243261527e-05,-4.47981063314907e-05,-6.414636086374709e-05
